"","Rank","p.value","p.adj","avg.logfc","avg.logfc.dir","direction","significance"
"GO_REGULATION_OF_ION_TRANSPORT",374,0.000607194841881082,0.00778151036667387,1,1,"Up",13.8383788729088
"GO_CELL_PROJECTION_ORGANIZATION",375,0.000633030369872496,0.0080480492381933,1,1,"Up",13.742401496588
"GO_RESPONSE_TO_CALCIUM_ION",376,0.00063100617965878,0.0080480492381933,1,1,"Up",13.742401496588
"GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER",377,0.000632410330403078,0.0080480492381933,1,1,"Up",13.742401496588
"GO_PHOSPHOLIPID_METABOLIC_PROCESS",378,0.000657053231038731,0.00828751614833852,1,1,"Up",13.6588453208131
"GO_NEGATIVE_REGULATION_OF_SECRETION",379,0.000656828618390439,0.00828751614833852,1,1,"Up",13.6588453208131
"GO_DENDRITE",380,0.000655310200296596,0.00828751614833852,1,1,"Up",13.6588453208131
"GO_REGULATION_OF_MEMBRANE_POTENTIAL",381,0.000663301311821712,0.00834436532168363,1,1,"Up",13.6393639027251
"GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS",382,0.000696157659003518,0.00873477397802058,1,1,"Up",13.5090576604527
"GO_METAPHASE_PLATE_CONGRESSION",383,0.000698712214893578,0.00874393641249327,1,1,"Up",13.5060699559763
"GO_SARCOLEMMA",384,0.000702072845143733,0.0087631123613904,1,1,"Up",13.4998271448107
"GO_TUBE_MORPHOGENESIS",385,0.000705300670602418,0.00878053536155166,1,1,"Up",13.4941668469171
"GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION",386,0.000708620674005739,0.00879901266971374,1,1,"Up",13.488176289163
"GO_COGNITION",387,0.000715177761401799,0.00885127482738345,1,1,"Up",13.471300156759
"GO_ENDOSOMAL_PART",388,0.000716522977889584,0.00885127482738345,1,1,"Up",13.471300156759
"GO_RESPONSE_TO_EXTRACELLULAR_STIMULUS",389,0.000721643612018061,0.00889161396504516,1,1,"Up",13.4583421222995
"GO_REGULATION_OF_CELL_DEVELOPMENT",390,0.00072506479362569,0.00891086039961008,1,1,"Up",13.4521803422683
"GO_REGULATION_OF_CELLULAR_LOCALIZATION",391,0.000761155005898542,0.00933047555823967,1,1,"Up",13.3210487751986
"GO_CARBOXYLIC_ESTER_HYDROLASE_ACTIVITY",392,0.000764500406659019,0.00934757767631806,1,1,"Up",13.3158301691185
"GO_MACROMOLECULAR_COMPLEX_ASSEMBLY",393,0.000770102272737128,0.00939211245096452,1,1,"Up",13.3022853323958
"GO_LIPASE_ACTIVITY",394,0.000784230214438922,0.00954014065432933,1,1,"Up",13.257721029306
"GO_ANTIPORTER_ACTIVITY",395,0.000813684580225969,0.00987339289372929,1,1,"Up",13.1598740884602
"GO_NEGATIVE_REGULATION_OF_MAPK_CASCADE",396,0.000818021707408566,0.00990095465557893,1,1,"Up",13.1519300525822
"GO_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS",397,0.000823891332339808,0.00993243824880533,1,1,"Up",13.1428826535585
"GO_PHOSPHOLIPID_TRANSPORT",398,0.000826839737382292,0.00993243824880533,1,1,"Up",13.1428826535585
"GO_MAIN_AXON",399,0.000826839737382292,0.00993243824880533,1,1,"Up",13.1428826535585
"GO_CALCIUM_ION_TRANSPORT",400,0.000839164770116199,0.0100552918579174,1,1,"Up",13.1078505662303
"GO_CHONDROITIN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS",401,0.000851732136446187,0.0101804292518368,1,1,"Up",13.0726045481345
"GO_PROTEIN_IMPORT",402,0.000862731402494398,0.0102607236033639,1,1,"Up",13.0502164116572
"GO_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR",403,0.000862008574824352,0.0102607236033639,1,1,"Up",13.0502164116572
"GO_REGULATION_OF_HORMONE_LEVELS",404,0.000887358155392357,0.0104303972305173,1,1,"Up",13.0034777615774
"GO_PROTEIN_OLIGOMERIZATION",405,0.000880324268272833,0.0104303972305173,1,1,"Up",13.0034777615774
"GO_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION",406,0.000887878587534126,0.0104303972305173,1,1,"Up",13.0034777615774
"GO_PROTEOGLYCAN_METABOLIC_PROCESS",407,0.000885781252067158,0.0104303972305173,1,1,"Up",13.0034777615774
"GO_ALCOHOL_METABOLIC_PROCESS",408,0.000887648884189414,0.0104303972305173,1,1,"Up",13.0034777615774
"GO_DNA_INTEGRITY_CHECKPOINT",409,0.000898268729634663,0.0105051323286672,1,1,"Up",12.9831317819144
"GO_COATED_VESICLE",410,0.000898623879564684,0.0105051323286672,1,1,"Up",12.9831317819144
"GO_REGULATION_OF_PRI_MIRNA_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER",411,0.000910744516733095,0.0106209208484227,1,1,"Up",12.9518934680001
"GO_FATTY_ACID_BETA_OXIDATION",412,0.000936469602798413,0.0108347002716185,1,1,"Up",12.8951030213007
"GO_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION",413,0.000938118216716398,0.0108347002716185,1,1,"Up",12.8951030213007
"GO_COMPLEX_OF_COLLAGEN_TRIMERS",414,0.000933374348911535,0.0108347002716185,1,1,"Up",12.8951030213007
"GO_CYTOKINE_BINDING",415,0.000934216808594049,0.0108347002716185,1,1,"Up",12.8951030213007
